ZIP;% of County Population;Type;Primary City
98001;0.02;Standard;Auburn
98002;0.02;Standard;Auburn
98092;0.02;Standard;Auburn
98224;0;PO Box;Baring
98004;0.01;Standard;Bellevue
98005;0.009;Standard;Bellevue
98006;0.02;Standard;Bellevue
98007;0.01;Standard;Bellevue
98008;0.01;Standard;Bellevue
98010;0.003;Standard;Black Diamond
98011;0.02;Standard;Bothell
98014;0.004;Standard;Carnation
98019;0.006;Standard;Duvall
98022;0.01;Standard;Enumclaw
98024;0.003;Standard;Fall City
98003;0.02;Standard;Federal Way
98023;0.03;Standard;Federal Way
98027;0.01;Standard;Issaquah
98029;0.01;Standard;Issaquah
98028;0.01;Standard;Kenmore
98030;0.02;Standard;Kent
98031;0.02;Standard;Kent
98032;0.02;Standard;Kent
98042;0.02;Standard;Kent
98033;0.02;Standard;Kirkland
98034;0.02;Standard;Kirkland
98038;0.02;Standard;Maple Valley
98039;0.002;Standard;Medina
98040;0.01;Standard;Mercer Island
98354;0;Standard;Milton
98045;0.007;Standard;North Bend
98047;0.003;Standard;Pacific
98050;0;PO Box;Preston
98051;0.002;Standard;Ravensdale
98052;0.03;Standard;Redmond
98053;0.01;Standard;Redmond
98055;0.01;Standard;Renton
98056;0.02;Standard;Renton
98057;0.005;Standard;Renton
98058;0.02;Standard;Renton
98059;0.02;Standard;Renton
98074;0.01;Standard;Sammamish
98075;0.01;Standard;Sammamish
98101;0.005;Standard;Seattle
98102;0.01;Standard;Seattle
98103;0.02;Standard;Seattle
98104;0.007;Standard;Seattle
98105;0.02;Standard;Seattle
98106;0.01;Standard;Seattle
98107;0.01;Standard;Seattle
98108;0.01;Standard;Seattle
98109;0.01;Standard;Seattle
98112;0.01;Standard;Seattle
98115;0.02;Standard;Seattle
98116;0.01;Standard;Seattle
98117;0.02;Standard;Seattle
98118;0.02;Standard;Seattle
98119;0.01;Standard;Seattle
98121;0.007;Standard;Seattle
98122;0.02;Standard;Seattle
98125;0.02;Standard;Seattle
98126;0.01;Standard;Seattle
98133;0.02;Standard;Seattle
98134;0;Standard;Seattle
98136;0.008;Standard;Seattle
98144;0.01;Standard;Seattle
98146;0.01;Standard;Seattle
98148;0.005;Standard;Seattle
98154;0;Standard;Seattle
98155;0.02;Standard;Seattle
98158;0;Standard;Seattle
98164;0;Standard;Seattle
98166;0.01;Standard;Seattle
98168;0.02;Standard;Seattle
98174;0;Standard;Seattle
98177;0.01;Standard;Seattle
98178;0.01;Standard;Seattle
98188;0.01;Standard;Seattle
98198;0.02;Standard;Seattle
98199;0.01;Standard;Seattle
98195;0;Unique;Seattle
98288;0;PO Box;Skykomish
98065;0.007;Standard;Snoqualmie
98068;0;PO Box;Snoqualmie Pass
98070;0.006;Standard;Vashon
98072;0.01;Standard;Woodinville
98077;0.007;Standard;Woodinville
