date,price,bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,grade,yr_built,renovated,yr_renovated,zipcode,city_encoded,lat,long,sqm_living15,sqm_lot15
0,790000,3,2.5,241.55,441.29,1.0,False,0,4,9,1951,False,1951,98117,11,47.6833,-122.4,221.11,441.29
0,555000,4,2.5,307.51,603.87,2.0,False,0,3,8,2012,False,2012,98065,15,47.515,-121.87,221.11,464.52
0,440000,4,2.25,200.67,754.28,1.0,False,0,3,8,1966,False,1966,98006,21,47.5443,-122.177,171.87,836.13
0,295000,2,2.5,151.43,127.09,2.0,False,0,3,7,2009,False,2009,98106,11,47.5489,-122.363,147.72,214.23
0,470000,5,2.5,205.32,896.98,1.0,False,0,3,8,1976,False,1976,98011,14,47.7698,-122.222,193.24,802.03
0,550000,4,2.5,180.23,975.48,1.0,False,0,4,7,1976,False,1976,98052,19,47.683,-122.114,204.39,975.48
0,313000,3,1.5,124.49,735.05,1.5,False,0,3,7,1955,False,1955,98133,11,47.7658,-122.339,137.5,737.65
0,626000,3,2.25,162.58,146.04,2.5,False,0,3,9,2005,False,2005,98102,11,47.6498,-122.321,223.9,283.35
0,285000,4,2.5,204.39,873.01,2.0,False,0,3,8,1987,False,1987,98001,1,47.3406,-122.269,214.61,852.48
0,612500,4,2.5,253.63,1139.08,2.0,False,0,3,9,1991,False,1991,98011,14,47.7419,-122.205,253.63,1010.04
0,495000,4,1.75,148.64,592.72,1.0,False,0,3,8,1959,False,1959,98125,11,47.701,-122.306,101.26,592.72
0,407500,3,2.5,179.3,971.77,2.0,False,0,3,8,1996,False,1996,98059,5,47.4938,-122.161,212.75,764.41
0,385000,3,3.25,122.63,123.28,2.0,False,0,3,8,2008,False,2008,98199,11,47.6506,-122.383,133.78,117.34
0,490000,2,1.0,81.75,592.72,1.0,False,0,3,7,1938,True,1994,98115,11,47.6924,-122.322,124.49,592.72
0,445700,3,2.5,117.99,109.63,3.0,False,0,3,8,2001,False,2001,98107,11,47.6697,-122.392,122.63,109.63
0,335000,3,2.25,146.79,1506.42,1.0,False,0,4,7,1978,False,1978,98024,12,47.5643,-121.897,134.71,1506.42
0,625000,4,2.5,261.99,781.13,2.0,False,0,3,9,2014,False,2014,98155,11,47.7538,-122.325,120.77,781.13
0,650000,4,2.0,169.08,464.52,1.5,False,1,3,7,1945,False,1945,98115,11,47.6815,-122.269,191.38,464.52
0,463000,3,1.75,158.86,680.05,1.0,False,0,3,7,1948,False,1948,98155,11,47.7512,-122.281,209.96,821.17
0,640000,4,2.0,141.21,576.0,1.5,False,0,3,7,1945,False,1945,98115,11,47.678,-122.269,177.44,576.0
0,499950,4,2.5,265.7,310.76,2.0,False,0,3,8,2004,False,2004,98072,17,47.7735,-122.158,265.7,334.08
0,300000,3,2.5,235.97,469.16,2.0,False,0,3,7,2006,False,2006,98042,3,47.3358,-122.055,211.82,469.16
0,435000,4,1.0,134.71,817.55,1.0,False,0,4,7,1954,False,1954,98006,21,47.5746,-122.135,117.06,830.74
0,750000,3,2.5,222.04,608.51,1.0,False,2,4,8,1955,False,1955,98116,11,47.5714,-122.408,186.74,608.51
0,235000,2,1.0,112.41,873.29,1.0,False,0,2,6,1949,False,1949,98106,11,47.5342,-122.36,146.79,559.83
0,382500,4,1.75,144.93,808.26,1.0,False,0,4,7,1967,False,1967,98034,16,47.7274,-122.181,193.24,743.22
0,2384000,5,2.5,339.1,840.77,2.0,False,4,5,10,1921,False,1921,98119,11,47.6345,-122.367,267.56,501.68
0,315000,3,1.0,107.77,852.85,1.0,False,0,3,7,1968,False,1968,98077,17,47.7427,-122.072,107.77,955.23
0,459990,3,2.5,248.98,514.59,2.0,False,0,3,8,2013,False,2013,98045,7,47.4761,-121.734,277.78,560.86
0,342000,3,2.0,179.3,1109.91,1.0,False,0,4,8,1966,False,1966,98042,3,47.3672,-122.151,204.39,1191.48
0,242500,3,1.5,111.48,903.02,1.0,False,0,4,7,1965,False,1965,98042,3,47.4225,-122.153,128.21,955.41
0,1200000,5,2.75,270.35,880.72,1.5,False,0,3,8,1939,False,1939,98105,11,47.6552,-122.278,273.13,613.16
0,419000,3,1.5,145.86,622.45,1.0,False,0,4,7,1956,False,1956,98007,21,47.6022,-122.134,145.86,678.19
0,365000,3,1.0,101.26,597.83,1.0,False,0,4,7,1955,False,1955,98106,11,47.5334,-122.365,124.49,597.83
0,588500,3,1.75,216.46,1383.51,1.0,False,0,3,8,1980,False,1980,98074,20,47.6267,-122.046,238.76,1320.8
0,403000,3,2.0,182.09,1217.03,1.0,False,2,5,8,1957,False,1957,98166,11,47.4419,-122.34,182.09,977.15
0,420000,3,2.25,185.81,746.01,1.0,False,0,4,8,1963,False,1963,98008,21,47.6188,-122.114,192.31,766.45
0,439950,3,2.5,164.44,267.1,2.0,False,0,3,8,1990,False,1990,98116,11,47.5631,-122.397,164.44,356.1
0,750000,3,1.75,208.1,982.73,2.0,False,0,5,8,1923,False,1923,98115,11,47.6954,-122.292,145.86,982.73
0,308500,2,1.0,78.97,573.58,1.0,False,0,4,7,1950,False,1950,98155,11,47.7352,-122.328,102.19,573.58
0,257950,3,1.75,127.28,544.23,1.0,False,0,3,7,1987,False,1987,98198,11,47.3815,-122.313,130.06,696.77
0,285000,3,2.5,194.17,1006.51,1.0,False,0,4,8,1987,False,1987,98003,0,47.3537,-122.303,162.58,798.5
0,440000,2,1.0,74.32,450.58,1.0,False,0,4,7,1944,False,1944,98107,11,47.6639,-122.364,106.84,405.52
0,785000,5,3.25,340.02,1114.37,2.0,False,2,3,10,2006,False,2006,98065,15,47.5337,-121.86,308.44,1044.32
0,615000,3,1.75,219.25,677.36,1.0,False,0,4,8,1948,False,1948,98136,11,47.5274,-122.384,172.8,510.87
0,275000,3,1.5,109.63,954.76,1.0,False,0,3,6,1983,False,1983,98045,7,47.488,-121.787,156.08,1031.59
0,335000,2,2.0,125.42,237.83,1.0,False,0,3,8,1976,False,1976,98052,19,47.6344,-122.107,166.3,237.83
0,1400000,4,2.5,271.28,371.61,1.5,False,0,5,8,1909,False,1909,98105,11,47.6578,-122.28,229.47,371.61
0,698000,4,2.25,204.39,1045.16,1.5,False,0,5,7,1920,False,1920,98033,16,47.6845,-122.201,215.53,1004.65
0,367500,4,3.0,288.93,671.78,2.0,False,0,3,8,1997,False,1997,98092,1,47.3279,-122.191,261.99,679.21
0,430000,4,1.5,178.37,929.03,1.0,False,0,4,7,1954,False,1954,98006,21,47.5725,-122.133,134.71,1006.7
0,436110,3,2.5,164.44,114.74,3.0,False,0,3,8,2007,False,2007,98103,11,47.6965,-122.342,156.08,111.76
0,260000,4,2.0,137.5,801.29,1.0,False,0,4,7,1974,False,1974,98055,5,47.462,-122.193,197.88,789.86
0,287200,3,3.0,171.87,1854.9,1.0,False,0,4,7,1992,False,1992,98038,4,47.3493,-122.034,130.99,623.84
0,805000,3,2.0,251.77,418.06,1.5,False,0,4,8,1929,False,1929,98115,11,47.6747,-122.295,191.38,418.06
1,553000,2,1.0,83.61,464.52,1.0,False,0,3,7,1944,False,1944,98117,11,47.6883,-122.395,118.92,464.52
1,310000,3,1.0,93.83,923.92,1.0,False,0,4,6,1973,False,1973,98065,15,47.5324,-121.763,129.14,1180.8
1,625000,4,2.75,271.28,613.62,2.0,False,0,3,8,2012,False,2012,98059,5,47.4909,-122.144,281.5,613.62
2,365000,3,2.5,204.39,682.84,1.0,False,0,5,8,1988,False,1988,98058,5,47.4395,-122.161,218.32,702.07
2,628000,4,2.0,211.82,558.35,1.0,False,0,3,7,1900,False,1900,98122,11,47.6034,-122.289,208.1,576.0
2,783500,3,2.5,264.77,662.4,2.0,False,0,3,10,1980,False,1980,98122,11,47.603,-122.289,211.82,600.06
2,775000,2,2.5,248.98,686.74,1.0,False,0,3,9,2004,False,2004,98053,19,47.717,-122.026,215.07,654.5
2,331950,4,2.5,235.04,922.81,2.0,False,2,3,8,1990,False,1990,98092,1,47.2654,-122.216,198.81,922.81
3,580000,2,1.0,235.97,650.32,1.0,False,0,5,8,1942,False,1942,98118,11,47.5259,-122.261,200.67,557.42
3,531000,2,3.0,117.99,109.16,2.0,False,0,3,8,2000,False,2000,98103,11,47.6634,-122.34,119.84,167.23
3,487585,4,1.75,186.74,855.73,1.0,False,0,3,7,1977,False,1977,98034,16,47.7206,-122.171,170.94,789.68
3,1395000,5,3.5,372.54,790.6,2.0,False,1,5,9,1971,False,1971,98105,11,47.6578,-122.286,242.48,569.31
3,770000,3,2.0,218.32,529.55,1.5,False,0,4,8,1939,False,1939,98112,11,47.639,-122.31,201.6,557.42
3,419190,2,2.5,147.72,132.48,2.0,False,0,3,8,2014,False,2014,98029,18,47.5441,-122.013,147.72,132.48
3,740000,4,1.75,186.74,334.45,1.5,False,0,3,7,1902,False,1902,98119,11,47.6337,-122.371,186.74,334.45
3,618500,3,2.0,167.23,464.52,1.0,False,0,4,7,1942,False,1942,98115,11,47.6738,-122.297,167.23,464.52
3,787000,3,1.75,123.56,696.77,1.0,False,0,3,8,1961,False,1961,98004,21,47.6074,-122.195,157.01,724.64
3,418000,3,2.0,130.99,560.21,1.5,False,0,4,7,1930,False,1930,98103,11,47.6994,-122.347,130.99,585.29
3,560000,3,2.5,176.52,812.34,2.0,False,0,3,8,1987,False,1987,98074,20,47.62,-122.043,188.59,812.34
3,379950,4,1.75,183.02,872.27,1.0,False,0,5,7,1960,False,1960,98133,11,47.7771,-122.339,169.08,755.77
3,435000,5,2.0,170.94,858.42,1.0,False,0,4,7,1942,True,1958,98133,11,47.7308,-122.34,111.48,487.74
3,245000,3,1.75,178.37,864.56,1.0,False,0,3,7,1984,False,1984,98001,1,47.3319,-122.267,172.8,785.77
3,449250,4,2.0,137.5,357.12,1.5,False,0,5,7,1928,False,1928,98133,11,47.7042,-122.352,137.5,357.12
3,705380,3,2.5,231.33,403.48,2.0,False,0,3,9,2003,False,2003,98029,18,47.5493,-121.993,197.88,381.46
